,Date,LST,County_FIP
396,2020-12-27,280.84243816254417,097
454,2020-12-28,284.10103206222726,097
512,2020-12-29,281.70542802303265,097
570,2020-12-30,284.81154838709676,097
628,2020-12-31,280.0274242424243,097
49,2020-12-21,290.8685859318347,099
107,2020-12-22,287.15139240506335,099
165,2020-12-23,286.8469070422535,099
223,2020-12-24,285.50661224489795,099
281,2020-12-25,282.78539325842695,099
339,2020-12-26,287.01746514575416,099
397,2020-12-27,286.9685887445887,099
455,2020-12-28,280.5782118055556,099
513,2020-12-29,284.93291361639825,099
571,2020-12-30,278.77031971580817,099
629,2020-12-31,282.39728813559327,099
50,2020-12-21,285.9081904761905,101
108,2020-12-22,284.0423644899701,101
166,2020-12-23,284.1639704433498,101
224,2020-12-24,277.43927499999995,101
282,2020-12-25,,101
340,2020-12-26,286.0679159756772,101
398,2020-12-27,,101
456,2020-12-28,283.0771971496437,101
514,2020-12-29,282.98564019448946,101
572,2020-12-30,284.9070811744387,101
630,2020-12-31,282.233096926714,101
51,2020-12-21,285.4363472577939,103
109,2020-12-22,282.1478951890034,103
167,2020-12-23,283.6620736724009,103
225,2020-12-24,283.6995757633406,103
283,2020-12-25,275.18375000000003,103
341,2020-12-26,284.24950921003835,103
399,2020-12-27,273.6667824310521,103
457,2020-12-28,282.45469795609387,103
515,2020-12-29,276.6583507853403,103
573,2020-12-30,282.1375788730975,103
631,2020-12-31,277.70215243201835,103
52,2020-12-21,279.84026801667665,105
110,2020-12-22,275.583590438247,105
168,2020-12-23,278.44711950082933,105
226,2020-12-24,277.3707172995781,105
284,2020-12-25,264.7855421686747,105
342,2020-12-26,273.9679409821625,105
400,2020-12-27,273.64613924050633,105
458,2020-12-28,274.9859431524548,105
516,2020-12-29,275.09462706716164,105
574,2020-12-30,274.5310655737705,105
632,2020-12-31,272.4755648376685,105
53,2020-12-21,284.9712909194421,107
111,2020-12-22,281.6002454991816,107
169,2020-12-23,278.8012020434739,107
227,2020-12-24,,107
285,2020-12-25,279.493338080319,107
343,2020-12-26,278.83992946708463,107
401,2020-12-27,284.6789090909091,107
459,2020-12-28,283.87274079197647,107
517,2020-12-29,273.3603077839556,107
575,2020-12-30,279.16560782091244,107
633,2020-12-31,270.46655721141707,107
54,2020-12-21,281.9102585002329,109
112,2020-12-22,278.6584056712963,109
170,2020-12-23,278.1847615303984,109
228,2020-12-24,,109
286,2020-12-25,267.5392735042735,109
344,2020-12-26,277.0916954574536,109
402,2020-12-27,266.20357723577234,109
460,2020-12-28,269.3239350180505,109
518,2020-12-29,273.95723966509684,109
576,2020-12-30,270.61836363636365,109
634,2020-12-31,275.00897415054465,109
55,2020-12-21,297.277410633824,111
113,2020-12-22,294.07936202340505,111
171,2020-12-23,281.0632888888889,111
