NDVI,LST,TA,Class
0.363608445,313.4830508,5,No_fire
0.363135319,309.2522052,5,No_fire
0.362662192,316.8578908,5,No_fire
0.362189066,308.8844766,5,No_fire
0.361715939,318.0493034,5,No_fire
0.36170705,315.647937,5,No_fire
0.36169816,305.5628613,5,No_fire
0.361689271,311.7648926,5,No_fire
0.361680382,306.165271,5,No_fire
0.361671492,312.054664,5,Fire
0.361662603,308.4296082,5,Fire
0.361653714,313.8483075,5,Fire
0.361644824,305.1671029,5,Fire
0.361635935,307.1377153,5,No_fire
0.361627046,307.0934226,5,No_fire
0.361618156,307.5683276,5,No_fire
0.361609267,311.4271681,5,No_fire
0.361600378,303.819309,5,No_fire
0.361591488,314.4835281,5,No_fire
0.361582599,317.3798561,5,No_fire
0.36157371,312.7255786,5,No_fire
0.361356292,307.4681963,5,No_fire
0.361138874,304.1499211,5,No_fire
0.360921457,310.8975949,5,No_fire
0.360704039,304.3384621,5,No_fire
0.360486621,312.862613,5,No_fire
0.360269203,309.1312567,5,No_fire
0.360051786,315.5858283,5,No_fire
0.359834368,306.05013,5,No_fire
0.35961695,306.1452917,5,No_fire
0.359399533,309.2211534,5,No_fire
0.359182115,310.6807664,5,No_fire
0.358964697,313.2822222,5,No_fire
0.35874728,312.8888087,5,No_fire
0.358529862,314.2747134,5,No_fire
0.358312444,305.9410201,5,No_fire
0.358095027,312.8078947,5,No_fire
0.358589068,309.5163181,5,No_fire
0.359083109,316.0862084,5,No_fire
0.35957715,319.0096835,5,No_fire
0.360071191,315.6160005,9,No_fire
0.360565232,312.2223176,9,No_fire
0.361059274,309.2544132,9,Fire
0.361553315,315.5073786,9,Fire
0.362047356,308.9011611,9,Fire
0.362541397,310.1472885,9,Fire
0.363035438,308.4322927,9,Fire
0.363529479,310.5025832,9,Fire
0.36402352,309.8322092,9,Fire
0.364517562,302.0897623,9,Fire
0.365011603,309.5932712,9,Fire
0.365505644,306.7073134,8,Fire
0.365999685,310.3386323,5,Fire
0.364995943,308.6262355,5,Fire
0.363992201,306.4760757,5,Fire
0.36298846,308.9029004,5,Fire
0.361984718,305.479432,5,Fire
0.360980976,307.155036,5,Fire
0.359977234,302.4537726,9,Fire
0.358973492,309.7603325,5,Fire
0.35796975,312.5791925,5,Fire
0.356966009,315.0101089,5,Fire
0.355962267,319.6345468,5,Fire
0.354958525,302.1664516,5,Fire
0.353954783,289.98,5,Fire
0.352951041,295.7909874,5,Fire
0.3519473,301.6019748,5,Fire
0.350943558,305.9638437,5,Fire
0.349939816,308.759468,5,Fire
0.349886781,305.8152102,5,Fire
0.349833746,305.1132185,5,Fire
0.349780712,309.4630949,5,Fire
0.349727677,303.9089709,5,Fire
0.349674642,307.9470957,5,Fire
0.349621607,302.9619417,5,Fire
0.349568573,311.9758753,5,Fire
0.349515538,305.440379,5,Fire
0.349462503,306.618,5,Fire
0.349409468,309.2879264,5,Fire
0.349356433,306.0064884,5,Fire
0.349303399,305.8025547,5,Fire
0.349250364,307.9485129,5,Fire
0.349197329,310.0944711,5,Fire
0.349144294,310.6951928,5,Fire
0.34909126,310.521568,5,Fire
0.348607885,310.4202945,5,Fire
0.348124511,306.1139339,5,Fire
0.347641137,309.2601961,5,No_fire
0.347157763,305.3640745,5,No_fire
0.346674389,311.965814,5,No_fire
0.346191015,307.5840198,5,No_fire
0.345707641,309.2395265,5,No_fire
0.345224267,303.0172642,5,No_fire
0.344740892,304.0802409,5,No_fire
0.344257518,305.1432177,5,No_fire
0.343774144,300.7824,5,No_fire
0.34329077,304.1245266,5,No_fire
0.342807396,306.6138749,5,No_fire
0.342324022,309.1032231,5,No_fire
0.341840648,307.8648742,5,No_fire
0.341357274,308.5415223,5,No_fire
0.342129889,308.9694188,5,No_fire
0.342902504,303.4014706,5,No_fire
0.34367512,309.529575,5,No_fire
0.344447735,305.6801543,5,No_fire
0.345220351,308.2778808,5,No_fire
0.345992966,305.7711681,5,No_fire
0.346765582,303.2644554,5,No_fire
0.347538197,299.2952146,5,No_fire
0.348310813,299.2693269,5,No_fire
0.349083428,298.180798,5,No_fire
0.349856044,296.1531429,5,No_fire
0.350628659,301.2800979,5,No_fire
0.351401275,299.7777526,5,No_fire
0.35217389,301.6880558,5,No_fire
0.352946506,300.8319985,5,No_fire
0.353719121,301.6532549,5,No_fire
0.355442217,301.3727362,5,No_fire
0.357165312,298.4103911,5,No_fire
0.358888408,301.1901092,5,No_fire
0.360611504,295.7410929,5,No_fire
0.362334599,303.7592308,5,No_fire
0.364057695,292.3434765,5,No_fire
0.36578079,293.9920852,5,No_fire
0.367503886,289.0247699,5,No_fire
0.369226982,290.5689158,5,No_fire
0.370950077,293.4156926,5,No_fire
0.372673173,293.2686127,5,No_fire
0.374396269,293.1215327,5,No_fire
0.376119364,282.7079208,5,No_fire
0.37784246,289.8406812,5,No_fire
0.379565556,293.3476375,5,No_fire
0.381288651,294.7475941,5,No_fire
0.380628433,291.1464085,5,No_fire
0.379968214,287.5452229,5,No_fire
0.379307995,285.8543715,5,No_fire
0.378647776,289.6132794,5,No_fire
0.377987558,286.1443611,5,No_fire
0.377327339,288.1587571,5,No_fire
0.37666712,290.549926,5,No_fire
0.376006901,292.4020317,5,No_fire
0.375346683,290.8307095,5,No_fire
0.374686464,290.6143194,5,No_fire
0.374026245,290.1901916,5,No_fire
0.373366026,291.4345106,5,No_fire
0.372705808,287.4057594,5,No_fire
0.372045589,292.1152614,5,No_fire
0.37138537,291.8844633,5,No_fire
0.370725152,291.2956825,5,No_fire
0.373071561,292.3028664,5,No_fire
0.37541797,290.2877605,5,No_fire
0.377764378,292.8969038,5,No_fire
0.380110787,288.9515212,5,No_fire
0.382457196,292.8418966,5,No_fire
0.384803605,295.2699773,5,No_fire
0.387150014,291.3819416,5,No_fire
0.389496423,292.8181051,5,No_fire
0.391842832,285.9929909,5,No_fire
0.394189241,279.5666667,5,No_fire
